stop_id,stop_name,stop_lat,stop_lon
700G002160,Portadown Train Station,54.42426723,-6.446564106
700G002161,Newry Train Station,54.18872269,-6.362549615
700GA00035,Lisburn Train Station,54.51397046,-6.045316159
700GA00040,Newry Train Station,54.18866419,-6.362873723
700GA00041,Newry Train Station,54.1886782,-6.362582021
700GA00046,Portadown Train Station,54.42429015,-6.44694852
700GA00047,Portadown Train Station,54.42433605,-6.44702384
700GA00091,Lurgan Train Station,54.46720799,-6.338117677
821GA00004,Carlow,52.84067988,-6.922338901
821GA00009,Bagenalstown,52.69898712,-6.953174404
822G000007,Connolly,53.35122994,-6.249659063
822GA00003,Killester,53.37284081,-6.205112587
822GA00004,Killester,53.37271257,-6.204952657
822GA00007,Clontarf Road,53.36298956,-6.227344408
822GA00008,Clontarf Road,53.36295206,-6.227240783
822GA00011,Harmonstown,53.37850806,-6.192322961
822GA00012,Harmonstown,53.37842517,-6.19219119
822GA00015,Raheny,53.3815006,-6.17633685
822GA00016,Raheny,53.38165376,-6.176360369
822GA00019,Kilbarrack,53.38749091,-6.161376846
822GA00020,Kilbarrack,53.38740683,-6.161169985
822GA00052,Ashtown,53.37545313,-6.33253409
822GA00053,Ashtown,53.37529748,-6.332329751
822GA00065,Tara St,53.34707382,-6.254320401
822GA00066,Tara St,53.34711741,-6.254228498
822GA00079,Sydney Parade,53.32068849,-6.211505407
822GA00080,Sydney Parade,53.32075002,-6.211412767
822GA00099,Sandymount,53.32797054,-6.221229889
822GA00100,Sandymount,53.32795843,-6.221020203
822GA00137,Park West and Cherry Orchard,53.33387086,-6.379217832
822GA00138,Park West and Cherry Orchard,53.33395089,-6.379154736
822GA00149,Clongriffin,53.40300141,-6.148961622
822GA00150,Clongriffin,53.4029726,-6.148842552
822GA00171,Connolly,53.35300456,-6.246867296
822GA00172,Connolly,53.35316514,-6.246785593
822GA00173,Connolly,53.35319275,-6.246829527
822GA00184,Docklands,53.35083677,-6.23943044
822GA00185,Docklands,53.3508523,-6.239264562
822GA00194,Drumcondra,53.3631125,-6.258893749
822GA00195,Drumcondra,53.36303275,-6.25897213
822GA00204,Pearse,53.34348436,-6.249195383
822GA00205,Pearse,53.34360158,-6.249220618
822GA00226,Broombridge,53.37277446,-6.299394226
822GA00229,Broombridge,53.37264442,-6.299098824
822GA00240,Lansdowne Road,53.33374526,-6.228767683
822GA00241,Lansdowne Road,53.33379737,-6.228645398
822GA00249,Grand Canal Dock,53.33958882,-6.237956589
822GA00250,Grand Canal Dock,53.33965869,-6.237818549
822GA00256,Heuston,53.34610812,-6.296956206
822GA00257,Heuston,53.34610467,-6.296085194
823GA00043,Adamstown,53.33586474,-6.468922572
823GA00045,Adamstown,53.33599795,-6.468797673
823GA00143,Clondalkin Fonthill,53.33342846,-6.405751372
823GA00144,Clondalkin Fonthill,53.33350033,-6.405748692
823GA00410,Clondalkin Fonthill,53.33330169,-6.405681024
824GA00025,Howth Junction and Donaghmede,53.39147331,-6.155010298
824GA00027,Howth Junction and Donaghmede,53.39178219,-6.15522248
824GA00028,Howth Junction and Donaghmede,53.39181169,-6.155386603
824GA00032,Skerries,53.57402831,-6.119118275
824GA00033,Skerries,53.57397632,-6.11924139
824GA00039,Sutton,53.39209904,-6.116234436
824GA00040,Sutton,53.39199196,-6.116284275
824GA00104,Balbriggan,53.61186264,-6.182171622
824GA00105,Balbriggan,53.61176545,-6.182281598
824GA00133,"Castleknock, Castleknock",53.38154,-6.371740657
824GA00134,"Castleknock, Castleknock",53.381482,-6.371442228
824GA00156,Clonsilla,53.38310745,-6.423558439
824GA00157,Clonsilla,53.38298247,-6.423623186
824GA00162,Coolmine,53.37772649,-6.3907648
824GA00163,Coolmine,53.37761788,-6.390708773
824GA00165,Hansfield,53.38685054,-6.441671254
824GA00176,Hansfield,53.3868853,-6.441579781
824GA00190,Rush and Lusk,53.52068706,-6.143441827
824GA00192,Rush and Lusk,53.52069979,-6.143682581
824GA00208,Navan Road Parkway,53.37773997,-6.34573202
824GA00209,Navan Road Parkway,53.37767813,-6.345809571
824GA00214,Portmarnock,53.41739015,-6.151195242
824GA00215,Portmarnock,53.41732038,-6.151333676
824GA00218,Bayside,53.39158228,-6.137142592
824GA00224,Malahide,53.45098866,-6.156481626
824GA00225,Malahide,53.45100988,-6.156691507
824GA00234,Donabate,53.48561262,-6.151363615
824GA00235,Donabate,53.48573195,-6.151524189
824GA00266,Howth,53.38908678,-6.074478748
824GA00267,Howth,53.38916786,-6.074490123
824GA00461,Bayside,53.39151019,-6.137130705
825GA00088,Shankill,53.23666829,-6.11711973
825GA00089,Shankill,53.23668507,-6.117044084
825GA00094,Seapoint,53.29911535,-6.165265872
